plot,block,variety,herbicide,profile,date,sample,masslost
101,1,nongm,gly,buried,08/29/06,incrop2,0.449
101,1,nongm,gly,buried,08/29/06,incrop2,0.809
101,1,nongm,gly,buried,08/29/06,incrop2,0.552
101,1,nongm,gly,surface,08/29/06,incrop2,-0.119
101,1,nongm,gly,surface,08/29/06,incrop2,-0.195
102,1,gm,conv,buried,08/29/06,incrop2,0.727
102,1,gm,conv,buried,08/29/06,incrop2,0.599
102,1,gm,conv,buried,08/29/06,incrop2,0.529
102,1,gm,conv,surface,08/29/06,incrop2,0.004
102,1,gm,conv,surface,08/29/06,incrop2,0.229
102,1,nongm,conv,buried,08/29/06,incrop2,0.515
102,1,nongm,conv,buried,08/29/06,incrop2,0.521
102,1,nongm,conv,buried,08/29/06,incrop2,0.763
102,1,nongm,conv,surface,08/29/06,incrop2,0.337
102,1,nongm,conv,surface,08/29/06,incrop2,0.233
102,1,nongm,conv,surface,08/29/06,incrop2,0.17
203,2,gm,gly,buried,08/29/06,incrop2,0.655
203,2,gm,gly,buried,08/29/06,incrop2,0.483
203,2,gm,gly,buried,08/29/06,incrop2,0.422
203,2,gm,gly,surface,08/29/06,incrop2,0.214
203,2,gm,gly,surface,08/29/06,incrop2,0.014
203,2,nongm,gly,buried,08/29/06,incrop2,0.554
203,2,nongm,gly,buried,08/29/06,incrop2,0.472
203,2,nongm,gly,buried,08/29/06,incrop2,0.6
203,2,nongm,gly,surface,08/29/06,incrop2,-0.06
203,2,nongm,gly,surface,08/29/06,incrop2,0.032
203,2,nongm,gly,surface,08/29/06,incrop2,0.26
206,2,gm,conv,buried,08/29/06,incrop2,0.644
206,2,gm,conv,buried,08/29/06,incrop2,0.495
206,2,gm,conv,buried,08/29/06,incrop2,0.562
206,2,gm,conv,surface,08/29/06,incrop2,0.282
206,2,gm,conv,surface,08/29/06,incrop2,0.109
206,2,gm,conv,surface,08/29/06,incrop2,0.223
206,2,nongm,conv,buried,08/29/06,incrop2,0.561
206,2,nongm,conv,buried,08/29/06,incrop2,0.583
206,2,nongm,conv,surface,08/29/06,incrop2,0.202
206,2,nongm,conv,surface,08/29/06,incrop2,0.337
304,3,gm,gly,buried,08/29/06,incrop2,0.535
304,3,gm,gly,buried,08/29/06,incrop2,0.527
304,3,gm,gly,buried,08/29/06,incrop2,0.587
304,3,gm,gly,surface,08/29/06,incrop2,0.009
304,3,gm,gly,surface,08/29/06,incrop2,0.046
304,3,gm,gly,surface,08/29/06,incrop2,-0.266
304,3,nongm,gly,buried,08/29/06,incrop2,0.537
304,3,nongm,gly,buried,08/29/06,incrop2,0.486
304,3,nongm,gly,buried,08/29/06,incrop2,0.499
304,3,nongm,gly,surface,08/29/06,incrop2,-0.158
304,3,nongm,gly,surface,08/29/06,incrop2,0.207
305,3,gm,conv,buried,08/29/06,incrop2,0.566
305,3,gm,conv,buried,08/29/06,incrop2,0.444
305,3,gm,conv,buried,08/29/06,incrop2,0.474
305,3,gm,conv,surface,08/29/06,incrop2,-0.199
305,3,gm,conv,surface,08/29/06,incrop2,0.019
305,3,nongm,conv,buried,08/29/06,incrop2,0.497
305,3,nongm,conv,buried,08/29/06,incrop2,0.487
305,3,nongm,conv,buried,08/29/06,incrop2,0.391
305,3,nongm,conv,surface,08/29/06,incrop2,0.283
305,3,nongm,conv,surface,08/29/06,incrop2,0.316
305,3,nongm,conv,surface,08/29/06,incrop2,0.268
404,4,gm,conv,buried,08/29/06,incrop2,0.457
404,4,gm,conv,buried,08/29/06,incrop2,0.389
404,4,gm,conv,buried,08/29/06,incrop2,0.41
404,4,gm,conv,surface,08/29/06,incrop2,0.22
404,4,gm,conv,surface,08/29/06,incrop2,0.003
404,4,nongm,conv,buried,08/29/06,incrop2,0.436
404,4,nongm,conv,buried,08/29/06,incrop2,0.458
404,4,nongm,conv,buried,08/29/06,incrop2,0.407
404,4,nongm,conv,surface,08/29/06,incrop2,0.24
404,4,nongm,conv,surface,08/29/06,incrop2,0.372
404,4,nongm,conv,surface,08/29/06,incrop2,0.211
407,4,gm,gly,buried,08/29/06,incrop2,0.579
407,4,gm,gly,buried,08/29/06,incrop2,0.549
407,4,gm,gly,surface,08/29/06,incrop2,-0.651
407,4,gm,gly,surface,08/29/06,incrop2,-0.246
407,4,nongm,gly,buried,08/29/06,incrop2,0.614
407,4,nongm,gly,buried,08/29/06,incrop2,0.495
407,4,nongm,gly,buried,08/29/06,incrop2,0.42
407,4,nongm,gly,surface,08/29/06,incrop2,-0.488
407,4,nongm,gly,surface,08/29/06,incrop2,-0.783
407,4,nongm,gly,surface,08/29/06,incrop2,-0.592
101,1,gm,gly,buried,10/27/06,postharvest,0.801
101,1,gm,gly,surface,10/27/06,postharvest,0.146
101,1,gm,gly,surface,10/27/06,postharvest,0.216
101,1,gm,gly,surface,10/27/06,postharvest,0.301
101,1,nongm,gly,buried,10/27/06,postharvest,0.788
101,1,nongm,gly,buried,10/27/06,postharvest,0.673
101,1,nongm,gly,buried,10/27/06,postharvest,0.927
101,1,nongm,gly,surface,10/27/06,postharvest,0.218
101,1,nongm,gly,surface,10/27/06,postharvest,0.229
102,1,gm,conv,buried,10/27/06,postharvest,0.697
102,1,gm,conv,buried,10/27/06,postharvest,0.646
102,1,gm,conv,buried,10/27/06,postharvest,0.813
102,1,gm,conv,surface,10/27/06,postharvest,0.341
102,1,nongm,conv,buried,10/27/06,postharvest,0.858
102,1,nongm,conv,buried,10/27/06,postharvest,0.886
102,1,nongm,conv,surface,10/27/06,postharvest,0.273
102,1,nongm,conv,surface,10/27/06,postharvest,0.158
203,2,gm,gly,buried,10/27/06,postharvest,0.587
203,2,gm,gly,surface,10/27/06,postharvest,0.318
203,2,gm,gly,surface,10/27/06,postharvest,0.03
203,2,gm,gly,surface,10/27/06,postharvest,-0.191
203,2,nongm,gly,buried,10/27/06,postharvest,0.782
203,2,nongm,gly,buried,10/27/06,postharvest,0.5
203,2,nongm,gly,surface,10/27/06,postharvest,0.16
203,2,nongm,gly,surface,10/27/06,postharvest,0.272
203,2,nongm,gly,surface,10/27/06,postharvest,0.093
206,2,gm,conv,buried,10/27/06,postharvest,0.672
206,2,gm,conv,buried,10/27/06,postharvest,0.846
206,2,gm,conv,buried,10/27/06,postharvest,0.811
206,2,gm,conv,surface,10/27/06,postharvest,0.018
206,2,gm,conv,surface,10/27/06,postharvest,0.205
206,2,gm,conv,surface,10/27/06,postharvest,0.221
206,2,nongm,conv,buried,10/27/06,postharvest,0.976
206,2,nongm,conv,buried,10/27/06,postharvest,0.738
206,2,nongm,conv,buried,10/27/06,postharvest,0.848
206,2,nongm,conv,surface,10/27/06,postharvest,0.207
206,2,nongm,conv,surface,10/27/06,postharvest,0.247
304,3,gm,gly,buried,10/27/06,postharvest,0.834
304,3,gm,gly,buried,10/27/06,postharvest,0.585
304,3,gm,gly,surface,10/27/06,postharvest,-0.188
304,3,gm,gly,surface,10/27/06,postharvest,-0.444
304,3,nongm,gly,buried,10/27/06,postharvest,0.757
304,3,nongm,gly,buried,10/27/06,postharvest,0.567
304,3,nongm,gly,surface,10/27/06,postharvest,0.255
304,3,nongm,gly,surface,10/27/06,postharvest,0.049
304,3,nongm,gly,surface,10/27/06,postharvest,0.219
305,3,gm,conv,buried,10/27/06,postharvest,0.472
305,3,gm,conv,buried,10/27/06,postharvest,0.576
305,3,gm,conv,surface,10/27/06,postharvest,0.437
305,3,gm,conv,surface,10/27/06,postharvest,-0.055
305,3,nongm,conv,buried,10/27/06,postharvest,0.714
305,3,nongm,conv,buried,10/27/06,postharvest,0.616
305,3,nongm,conv,buried,10/27/06,postharvest,0.654
305,3,nongm,conv,surface,10/27/06,postharvest,0.422
305,3,nongm,conv,surface,10/27/06,postharvest,0.441
404,4,gm,conv,buried,10/27/06,postharvest,0.515
404,4,gm,conv,buried,10/27/06,postharvest,0.829
404,4,gm,conv,surface,10/27/06,postharvest,0.377
404,4,gm,conv,surface,10/27/06,postharvest,0.37
404,4,gm,conv,surface,10/27/06,postharvest,0.074
404,4,nongm,conv,buried,10/27/06,postharvest,0.586
404,4,nongm,conv,surface,10/27/06,postharvest,0.053
404,4,nongm,conv,surface,10/27/06,postharvest,0.231
404,4,nongm,conv,surface,10/27/06,postharvest,0.193
407,4,gm,gly,buried,10/27/06,postharvest,0.707
407,4,gm,gly,buried,10/27/06,postharvest,0.629
407,4,gm,gly,surface,10/27/06,postharvest,0.249
407,4,gm,gly,surface,10/27/06,postharvest,0.192
407,4,nongm,gly,buried,10/27/06,postharvest,0.589
407,4,nongm,gly,buried,10/27/06,postharvest,0.681
407,4,nongm,gly,buried,10/27/06,postharvest,0.878
407,4,nongm,gly,surface,10/27/06,postharvest,0.169
407,4,nongm,gly,surface,10/27/06,postharvest,0.143
407,4,nongm,gly,surface,10/27/06,postharvest,0.329
